time,goal_x,goal_y,x,y,er_x,er_y
60.083,-3.8859368813355024,-1.8345923046496895,-4.018846767631429,-1.3293315714103637,-3.7530269950395767,-2.339853037889015
60.333,-3.886735828921775,-1.8313944711986847,-4.018842132726683,-1.3293288408403918,-3.754629525116867,-2.3334601015569776
60.583,-3.8866262069985584,-1.831498488413931,-4.018836862708086,-1.3293257353919337,-3.7544155512890316,-2.3336712414359284
60.833,-3.886523859768216,-1.831726502786889,-4.018832225549749,-1.3293230022398657,-3.7542154939866825,-2.3341300033339123
61.083,-3.8857455336267295,-1.8345190580490738,-4.018826952968709,-1.3293198938545918,-3.7526641142847503,-2.3397182222435555
61.333,-3.8862746453769637,-1.8323495739641147,-4.0188223135517855,-1.3293171581154744,-3.7537269772021413,-2.3353819898127552
61.583,-3.8870039411220136,-1.8292705196260204,-4.018817038398339,-1.329314046785457,-3.7551908438456882,-2.329226992466584
61.833,-3.8861979586903663,-1.8321666945102344,-4.018812396718818,-1.3293113084550154,-3.753583520661914,-2.3350220805654534
62.083,-3.885930026233419,-1.8330201697261477,-4.01880711899013,-1.3293081941762084,-3.7530529334767073,-2.3367321452760867
62.333,-3.8866938014219423,-1.8299646363710589,-4.018802475042374,-1.3293054532489639,-3.75458512780151,-2.330623819493154
62.583,-3.8862867660812612,-1.8311947640015596,-4.018797194736016,-1.3293023360173417,-3.7537763374265065,-2.3330871919857774
62.833,-3.886861988348918,-1.8288561538895443,-4.018792548520418,-1.3292995924912614,-3.7549314281774184,-2.3284127152878273
63.083,-3.885771451470104,-1.8328230445353717,-4.018787265635416,-1.3292964723037868,-3.7527556373047917,-2.336349616766957
63.333,-3.885828089673563,-1.8324477135592003,-4.018782617150803,-1.3292937261760176,-3.752873562196323,-2.335601700942383
63.583,-3.886443692090859,-1.8298064178904698,-4.018777331685826,-1.329290603029446,-3.7541100524958924,-2.3303222327514934
63.833,-3.886015830866846,-1.8312640910362488,-4.01877268093093,-1.329287854298037,-3.7532589808027628,-2.3332403277744604
64.083,-3.8866785305700846,-1.8285970850143989,-4.0187673928802825,-1.3292847282043405,-3.7545896682598863,-2.3279094418244575
64.333,-3.885842371870775,-1.831597151821299,-4.018762739844209,-1.3292819768930595,-3.752922003897341,-2.3339123267495387
64.583,-3.886867604752137,-1.8274124919877344,-4.018757449197099,-1.329278847867978,-3.754977760307175,-2.3255461361074907
64.833,-3.886690325077235,-1.827922407962387,-4.018752793876315,-1.329276093976545,-3.7546278562781548,-2.326568721948229
65.083,-3.885530848469405,-1.8321381578556273,-4.018747500631378,-1.3292729620168693,-3.7523141963074313,-2.3350033536943853
65.333,-3.886276085423132,-1.8291650656209002,-4.0187428430246905,-1.3292702055424663,-3.753809327821574,-2.329059925699334
65.583,-3.885837000146994,-1.8305100116902924,-4.018737547180566,-1.329267070644987,-3.752936453113421,-2.331752952735598
65.833,-3.886194386342771,-1.8290021528657698,-4.018732887286778,-1.3292643115847884,-3.7536558853987634,-2.3287399941467513
66.083,-3.8852282193526824,-1.8324827576638478,-4.018727588842105,-1.3292611737462936,-3.7517288498632593,-2.335704341581402
66.333,-3.8858722583202985,-1.8298948876307837,-4.018722926658703,-1.329258412096617,-3.7530215899818935,-2.3305313631649502
66.583,-3.885878740614517,-1.8295589704486308,-4.018717625609281,-1.3292552713117542,-3.7530398556197535,-2.3298626695855074
66.833,-3.8858448221964177,-1.829526614434327,-4.018712961134359,-1.3292525070687615,-3.7529766832584768,-2.3298007217998924
67.083,-3.884772762546471,-1.8334005277791667,-4.0187076574797596,-1.3292493633345526,-3.7508378676131824,-2.337551692223781
67.333,-3.8851482984276213,-1.8318262148897526,-4.018702990712469,-1.329246596495608,-3.751593606142774,-2.3344058332838973
67.583,-3.886042621202198,-1.8281501347606541,-4.018697684451336,-1.3292434498088241,-3.7533875579530593,-2.3270568197124843
67.833,-3.8852802199446614,-1.8308569981395286,-4.018693015390476,-1.329240680371077,-3.751867424498846,-2.3324733159079805
68.083,-3.885532393809624,-1.82974730372999,-4.018687706520774,-1.3292375307281037,-3.752377081098474,-2.3302570767318764
68.333,-3.8849709680592204,-1.8316968817964434,-4.0186830351594836,-1.329234758685531,-3.751258900958957,-2.334159004907356
68.583,-3.8845533169962208,-1.8329529033490766,-4.018677723671483,-1.3292316060784648,-3.750428910320958,-2.3366742006196883
68.833,-3.8847200008897493,-1.8321660553533263,-4.018673050008506,-1.3292288314282212,-3.7507669517709927,-2.3351032792784316
69.083,-3.8857809772327654,-1.8280214823434857,-4.018667735903412,-1.329225675855275,-3.752894218562119,-2.3268172888316965
